nom,chemin,nb_usages,fichiers_utilisateurs,type,props_principales,candidat_dsfr
ActivityAlgoliaMissionsPreview,components/activity/AlgoliaMissionsPreview.vue,0,,custom,activity,non
ActivityBanner,components/activity/Banner.vue,0,,custom,activity,non
ActivityEngagezVousPresDeChezVous,components/activity/EngagezVousPresDeChezVous.vue,0,,custom,activity,non
ActivityNumbersActivity,components/activity/NumbersActivity.vue,0,,custom,activity,non
ApiEngagementInputAutocomplete,components/api-engagement/InputAutocomplete.vue,0,,custom,modelValue | showAddButton | loadingAddButton | placeholder | required | ariaLabelledby | ariaDescribedby | ariaErrormessage | name,oui
ApiEngagementPropulsedByLogo,components/api-engagement/PropulsedByLogo.vue,0,,custom,,non
BaseBadge,components/base/Badge.vue,1,components/section/logs/DisclosureActivityLogItems.vue,custom,plain | size | color | extraClass,oui
BaseButtonWithDropown,components/base/ButtonWithDropown.vue,0,,custom,buttonClick,oui
BaseCheckbox,components/base/Checkbox.vue,1,components/base/CheckboxGroup.vue,custom,option | isChecked | transparent | size | variant | labelClass,à discuter
BaseCheckboxBoolean,components/base/CheckboxBoolean.vue,1,pages/inscription/responsable/step/organisation.vue,custom,modelValue | name | size,à discuter
BaseCheckboxGroup,components/base/CheckboxGroup.vue,0,,custom,modelValue | options | error | variant | isModel | classCheckbox | size | labelClass,à discuter
BaseClampedTextWithModal,components/base/ClampedTextWithModal.vue,0,,custom,text | maxLines | readMoreLabel | readMoreClass | as,oui
BaseCombobox,components/base/Combobox.vue,0,,custom,modelValue | placeholder | labelEmpty | name | icon | options | attributeKey | attributeLabel | variant | clearable | disabled | loading,oui
BaseContainerRightSidebar,components/base/ContainerRightSidebar.vue,0,,custom,,non
BaseDescriptionListItemMasquerade,components/base/DescriptionListItemMasquerade.vue,1,components/section/profile/BoxInformations.vue,custom,profile | termSize,non
